time;a;d;g;r;p1;p2;p3;p4;p5;p6;p7;p8;p9;p10
5380;105.687;3.0889983;1.73254;0.4989823;6.7185;-0.51902;-1.7689;-0.74966;-0.11874;0.02177;-1.04209;-0.95228;-0.12749;-0.15864
5390;104.343;3.0811312;1.72716;0.5184275;6.70099;-0.10608;-2.01349;-1.05613;-0.14976;-0.15474;-1.27332;-0.83574;0.3006;-0.08409
5400;105.425;3.0067623;1.7309;0.5051143;6.22134;-0.5349;-1.8849;-0.92328;-0.65132;-0.24774;-0.98982;-0.8204;0.0401;-0.03029
5410;105.223;2.9752932;1.72786;0.4875759;6.2868;-0.79675;-1.44307;-0.65945;-0.22371;-0.49502;-0.96341;-0.78392;-0.13108;0.0507
5420;106.528;2.9465115;1.73819;0.4601356;6.29534;-1.45382;-1.21904;-0.6429;-0.24747;-0.44192;-0.40895;-0.49121;-0.03612;0.12649
5430;105.018;2.9863749;1.74935;0.4677521;6.68079;-1.24864;-1.14268;-0.80967;-0.54768;-0.76891;-1.11411;-0.11236;0.27726;0.08471
5440;106.227;2.7943041;1.72555;0.4611259;5.60973;-1.26966;-1.15964;-0.76651;-0.39229;-0.51669;-0.45277;-0.25609;-0.03268;0.03824
5450;106.285;2.8659866;1.72338;0.472668;5.83762;-1.07119;-1.1216;-0.90189;-0.63329;-0.12481;-0.64213;-0.35893;-0.0501;0.1284
5460;107.326;2.8191586;1.72812;0.462236;5.53883;-1.19846;-0.98887;-0.70155;-0.64349;-0.55598;-0.53288;-0.19955;0.05166;0.01342
5470;106.216;2.8598337;1.72041;0.4958366;5.66046;-0.77746;-1.41599;-0.80468;-0.95078;-0.33109;-1.10212;-0.27699;-0.15478;-0.04805
5480;106.366;2.7917402;1.71507;0.4843495;5.50913;-0.96866;-1.19559;-1.31211;-0.70775;-0.55821;-0.65012;-0.06877;0.02174;0.16598
5490;105.794;2.8981771;1.72268;0.4727406;5.56733;-1.11516;-0.99119;-1.22302;-0.51984;-0.6454;-0.78894;-0.21236;0.03728;0.07079
5500;106.196;2.7747095;1.7194;0.4751826;5.27917;-1.33683;-1.20959;-1.01238;-0.41276;-0.70759;-0.83553;-0.27168;-0.30179;0.01943
5510;105.753;2.7573864;1.72744;0.4792341;5.18004;-0.95325;-0.49486;-1.15263;-0.65888;-1.07213;-0.96118;-0.01715;-0.24138;0.3163
5520;105.783;2.8741448;1.72036;0.5275145;5.95123;0.07068;-1.49796;-1.1994;-1.17568;-0.66637;-1.44428;-0.90277;0.00996;0.14374
5530;104.726;2.7791924;1.72534;0.5190335;5.49346;-0.04595;-1.04746;-1.3589;-1.27049;-1.29033;-0.99842;-0.13868;-0.03077;0.19654
5540;107.112;2.7710831;1.7182;0.5235845;5.19119;0.23972;-0.5872;-1.5079;-1.47613;-0.72351;-1.08619;-0.31679;-0.3431;0.34037
5550;107.321;2.827558;1.71837;0.493627;5.52906;-0.41385;-0.434;-1.28271;-1.42272;-0.79764;-0.96372;-0.48641;-0.1464;0.33789
5560;103.759;2.8040969;1.72237;0.505011;5.2813;-0.15425;-0.95682;-0.92488;-1.28784;-0.66035;-0.57635;-0.48166;-0.20696;0.09595
5570;104.044;2.8000159;1.71943;0.4969563;5.15624;-0.77431;-1.40942;-1.01699;-0.86151;-0.50913;-0.71088;-0.10339;-0.33611;0.04409
5580;104.812;2.7433674;1.71869;0.4864485;4.95949;-0.73313;-0.91733;-0.8028;-1.15264;-0.76767;-0.55884;-0.00757;-0.22643;0.30436
5590;104.447;2.7750132;1.71886;0.4759422;4.97196;-0.77364;-0.66799;-1.13251;-0.76517;-1.07272;-0.43771;0.22435;-0.13654;-0.13351
5600;105.753;2.6284459;1.71098;0.4993452;4.5214;-0.24663;-0.61675;-1.25455;-1.20147;-1.24458;-0.64611;0.27312;-0.37286;-0.06383
5610;106.408;2.7913699;1.71671;0.4669476;5.19409;-1.01826;-0.60238;-1.18376;-1.03544;-1.15145;-0.19675;0.17349;-0.09309;-0.04678
5620;104.839;2.6661725;1.71445;0.4568337;5.01136;-1.27652;-0.38751;-1.3113;-1.10294;-1.11521;-0.12623;0.31391;0.07983;0.20196
5630;104.867;2.7358658;1.71953;0.476218;5.53551;-0.80412;-1.13715;-1.10666;-1.03181;-0.65765;-0.176;0.04097;0.05445;-0.08857
5640;106.354;2.7081401;1.72107;0.4636535;5.00718;-1.0044;-0.54568;-1.03499;-0.84285;-0.75588;-0.35773;0.43972;0.04941;0.1296
5650;105.819;2.8384404;1.72471;0.4554414;5.66704;-1.06401;-0.45651;-1.17374;-0.62221;-1.07681;-0.32536;-0.18341;0.2395;0.17266
5660;104.651;2.761616;1.7189;0.4588708;5.5836;-0.82777;-0.1591;-1.49417;-0.73793;-1.30993;-0.08843;-0.1924;0.15749;0.32515
5670;106.432;2.8813388;1.72815;0.4440111;6.27233;-1.13226;0.11224;-1.43537;-1.03217;-1.21703;-0.31489;-0.14299;0.39563;0.27172
5680;110.102;2.7570095;1.73191;0.4567166;5.72901;-1.39489;0.0232;-1.30538;-1.22678;-1.45551;-0.76211;0.20023;0.13279;0.37025
5690;107.28;2.6976736;1.70941;0.4933987;5.04985;-0.78676;-0.65659;-1.75557;-1.22213;-1.40151;-0.89817;0.39118;-0.21232;0.06177
5700;107.352;2.6998165;1.7083;0.5140484;5.13916;-0.11558;-0.87612;-1.88098;-1.46239;-1.39973;-0.86823;-0.51514;0.10726;-0.07762
5710;105.685;2.6008282;1.70898;0.4863496;4.56297;-0.93101;-0.73601;-1.33005;-1.12446;-1.09202;-0.68276;0.5823;-0.46831;0.15661
5720;106.911;2.5466714;1.71041;0.5178799;4.6788;-0.34059;-1.51108;-1.65681;-0.89703;-1.29511;-0.86112;0.2343;0.07229;0.07349
5730;105.478;2.8137338;1.72272;0.4980389;5.58323;-0.34852;-1.31473;-1.37662;-0.65443;-1.10363;-0.8346;0.23618;-0.21459;-0.23337
5740;107.715;2.620959;1.70875;0.5347324;5.1649;0.13296;-1.92461;-1.62117;-1.36909;-0.91583;-0.97185;0.06826;0.07209;-0.26812
5750;106.851;2.6857285;1.7183;0.5078362;5.44626;-0.44818;-1.5374;-1.5042;-1.46361;-0.89782;-0.8291;0.0549;-0.18573;-0.16964
5760;105.604;2.6880264;1.71356;0.5496291;5.74091;0.31599;-1.91238;-1.9159;-1.60457;-1.40854;-1.28734;-0.20274;0.29058;-0.21713
5770;107.347;2.7475727;1.72484;0.5460467;5.65399;0.05831;-2.27837;-1.37992;-1.51268;-1.04699;-1.37822;-0.29807;0.13732;-0.32254
5780;106.697;2.8047669;1.73147;0.5273333;6.19349;-0.16857;-1.82716;-1.72431;-1.0906;-1.3645;-1.23846;-0.46945;0.29938;-0.07882
5790;108.027;2.7858067;1.72874;0.5297838;6.25536;-0.10824;-2.01562;-1.41624;-1.69645;-1.13577;-1.03903;-0.40761;0.33996;-0.27967
5800;106.731;2.7574718;1.73169;0.5054472;6.11747;-0.50022;-1.62748;-1.48891;-1.16429;-1.23339;-0.60547;-0.01311;0.24541;-0.0637
5810;105.425;2.7376142;1.71533;0.5374458;5.76588;0.25016;-1.58817;-1.86772;-1.54415;-1.3303;-0.5345;-0.6625;0.19996;0.20957
5820;108.124;2.6574745;1.71158;0.5044964;5.39934;-0.46123;-1.30878;-1.8237;-1.12081;-1.36352;-0.2211;-0.22932;0.19001;0.17344
5830;107.006;2.6480079;1.7045;0.5295394;5.28976;0.3709;-1.17246;-1.75618;-1.63423;-1.10811;-0.20858;-0.76108;0.33201;0.30954
5840;106.154;2.6255529;1.69529;0.5071946;4.90386;-0.2878;-0.98675;-1.92976;-1.32575;-1.03667;0.38448;-0.60077;0.1913;0.49526
5850;108.047;2.5688384;1.69919;0.5315787;4.99917;0.42846;-1.21679;-1.95871;-1.47374;-1.14922;0.42767;-0.89693;0.47743;0.30321
5860;105.316;2.5867875;1.7024;0.5417629;5.12843;0.46113;-1.90869;-1.88075;-1.23189;-1.04774;0.1277;-0.46201;0.35001;-0.14696
5870;105.913;2.4402115;1.69395;0.5135004;4.36858;-0.38733;-1.26759;-1.89235;-1.34451;-1.61771;0.30759;0.22084;-0.10742;0.1749
5880;107.097;2.4019969;1.69069;0.521664;3.87734;-0.21145;-1.21473;-1.70399;-1.23773;-1.70535;-0.07714;0.47109;-0.36457;0.1396
5890;107.059;2.512419;1.69322;0.5411172;4.17302;0.22901;-1.48931;-1.81778;-1.49201;-1.42632;-0.11952;0.29997;-0.48824;-0.11308
5900;107.317;2.4551647;1.68906;0.5168852;4.23814;-0.3988;-1.32504;-1.87894;-1.59119;-1.35507;-0.03803;0.39332;-0.08395;0.19127
5910;107.175;2.6298907;1.71643;0.5049809;4.96093;-0.59385;-1.48269;-1.08963;-0.98974;-1.31142;-0.96198;0.43601;-0.41953;0.09559
5920;107.704;2.4713254;1.69654;0.5134819;4.25422;-0.3359;-1.1107;-1.39534;-1.14214;-1.58562;-0.63877;0.56881;-0.26399;0.44137
5930;108.977;2.5367286;1.7044;0.5265664;4.51106;0.04629;-1.41267;-1.72503;-0.94891;-1.37271;-0.45696;0.54415;-0.29981;0.13549
5940;106.855;2.3350904;1.68812;0.5281699;3.68841;0.08198;-0.855;-1.88089;-1.30889;-1.63513;0.00186;0.29982;0.00573;0.5991
5950;107.843;2.2315104;1.67434;0.5398971;3.11621;0.13879;-0.80007;-2.21527;-1.19664;-1.82926;0.04952;0.21063;-0.37824;0.7571
5960;108.533;2.222512;1.65799;0.5601597;2.72002;0.64836;-0.74706;-2.41604;-1.62536;-1.55769;-0.03252;-0.0902;-0.20993;0.50903
5970;110.146;2.37463;1.68129;0.5523242;3.56567;0.73119;-1.04367;-2.10436;-1.63408;-1.29631;-0.25288;-0.16502;-0.01552;0.2153
5980;107.85;2.2978334;1.67467;0.5684475;3.4663;1.01151;-1.19039;-2.03759;-1.916;-1.43097;-0.50991;-0.10949;-0.0158;0.24479
5990;107.639;2.3499219;1.67287;0.5596941;3.78019;0.97628;-1.20491;-2.17759;-1.42183;-1.47261;-0.12909;0.02365;0.12541;0.6889
6000;106.968;2.4078839;1.67709;0.5642257;3.97287;0.97323;-1.15316;-2.37103;-2.04262;-1.33687;-0.16284;-0.57796;0.27529;0.48105
6010;106.378;2.512192;1.67632;0.5535146;4.13329;1.2488;-0.58787;-2.11804;-1.95847;-0.91055;-0.28299;-0.38929;0.00161;0.6155
6020;107.144;2.5779614;1.68594;0.5732806;4.63961;1.60274;-0.98261;-2.39421;-1.75015;-1.14008;-0.5252;-0.76994;0.18627;0.55965
6030;107.84;2.5343137;1.67315;0.5752791;4.05222;1.50844;-0.4355;-2.61841;-2.20491;-1.22547;-0.53292;-0.88262;0.117;0.82368
6040;109.107;2.4848781;1.68093;0.5563701;4.20421;1.12234;-0.40436;-2.43964;-2.06941;-1.33911;-0.51171;-0.273;0.2366;0.75817
6050;106.941;2.546469;1.69377;0.533187;4.52368;0.17338;-0.76791;-2.19935;-2.11707;-1.29541;-0.63123;-0.0063;0.08093;0.61632
6060;108.385;2.4134641;1.69171;0.5586783;4.224;0.98352;-0.46267;-2.43919;-2.17361;-1.76449;-0.22843;-0.04802;0.12926;0.73928
6070;107.917;2.4426959;1.68151;0.533838;4.09027;0.17867;-0.74231;-2.12222;-1.83958;-1.51764;-0.33839;0.014;-0.04407;0.70352
6080;106.93;2.4556124;1.68905;0.5154389;4.202;-0.23285;-0.56648;-1.92007;-1.63418;-1.41997;0.03054;0.10175;0.01442;1.0181
6090;108.396;2.5565886;1.70059;0.5194366;4.33684;-0.42296;-0.95087;-1.85423;-1.45822;-1.67536;-0.38308;0.2153;-0.36272;0.43819
6100;108.227;2.6086736;1.70021;0.4985392;4.28354;-0.70054;-0.46861;-1.65824;-1.46404;-1.47649;-0.11841;0.26297;-0.33431;0.49081
6110;110.165;2.6392391;1.71806;0.5200753;5.10152;-0.28465;-1.2754;-1.67459;-1.92706;-1.35191;-0.31269;-0.05296;-0.4409;0.26383
6120;108.797;2.5995693;1.70364;0.52998;4.62058;-0.12314;-1.02118;-1.84769;-1.8374;-1.77091;-0.61248;-0.29415;-0.28446;0.55621
6130;109.422;2.5103619;1.69901;0.5336015;4.45039;-0.01682;-1.02313;-1.63935;-2.03223;-1.74209;-0.32274;-0.01355;-0.49268;0.9393
6140;107.406;2.5041533;1.70523;0.5257435;4.21565;-0.13365;-0.78438;-1.58742;-1.72605;-1.78325;-0.36539;-0.25701;-0.52325;0.56176
6150;106.792;2.5772378;1.71128;0.5192125;4.57284;-0.52833;-1.0185;-1.38958;-1.29381;-1.952;-0.63071;-0.01353;-0.68139;0.47174
6160;107.136;2.6428764;1.71276;0.5048453;4.68925;-0.71963;-1.02645;-1.11816;-1.01184;-1.3924;-0.40649;-0.04874;-0.55433;0.59496
6170;106.9;2.7833529;1.72052;0.4868094;5.3781;-1.08944;-1.23524;-1.26443;-0.91806;-0.81554;-0.34105;0.05544;-0.59162;0.39539
6180;110.774;2.713515;1.72736;0.5158206;5.62298;-0.64824;-2.17764;-1.39131;-0.33493;-1.21723;-0.49833;0.00913;-0.42576;0.05584
6190;106.955;2.8100469;1.7308;0.5169955;5.93301;-0.73745;-2.07027;-1.1645;-0.56799;-1.12456;-0.48236;-0.52715;-0.42556;0.19348
6200;107.644;2.8298008;1.73511;0.5017607;5.84418;-1.61308;-2.38103;-0.63459;-0.25863;-0.88671;-0.78071;-0.31624;-0.69311;0.10415
6210;107.841;2.7498851;1.73439;0.5046332;5.67349;-1.35345;-2.29884;-0.65541;-0.59702;-0.66706;-0.68065;0.32468;-0.50044;0.42775
6220;108.321;2.6047323;1.71728;0.4882959;4.97681;-1.14828;-1.24012;-0.76963;-1.17686;-1.25609;-0.07246;0.54781;-0.38845;0.60174
6230;107.285;2.7599277;1.74621;0.4968909;5.73765;-1.3634;-2.21187;-0.53141;-0.01846;-1.49563;-0.10785;0.70536;-0.65964;-0.0526
6240;108.748;2.9511244;1.74845;0.4857251;6.35867;-1.43457;-2.28017;-0.39318;0.05407;-1.10331;-0.41769;0.61316;-0.57235;-0.31461
6250;108.135;2.9313104;1.74827;0.48484;6.01654;-1.62696;-2.39432;0.04371;0.09745;-1.00563;-0.61089;0.43494;-0.60792;-0.24269
6260;108.75;3.0227056;1.76005;0.458601;6.38411;-2.34561;-1.99561;0.29485;0.20399;-0.8463;-0.58603;0.54493;-1.11024;-0.30964
6270;108.565;3.1314466;1.77332;0.4734015;6.86736;-2.15683;-2.09171;0.2034;0.49683;-1.04649;-1.11101;0.0856;-0.82921;-0.11744
6280;109.341;3.071008;1.75878;0.4608467;6.51159;-2.08665;-1.68281;-0.23098;0.52917;-0.88612;-0.68598;0.1034;-0.73906;0.26373
6290;108.772;2.9822483;1.75165;0.4759462;6.25424;-1.72901;-1.62286;-0.12717;-0.02292;-1.23318;-0.88685;-0.32805;-0.61518;0.01407
6300;108.979;3.1744177;1.76066;0.4769574;6.99477;-1.51231;-1.75505;-0.14876;0.25567;-0.8841;-0.87862;-0.39264;-0.27806;0.11318
6310;108.254;3.0230865;1.75079;0.4992276;6.49661;-1.07731;-2.23782;-0.273;0.21505;-1.08665;-0.81672;-0.43646;-0.25027;-0.23768
6320;107.629;2.8950222;1.73786;0.5102805;5.9476;-1.08091;-2.34543;-0.73655;0.16262;-1.588;-0.92103;0.02444;-0.31585;-0.15242
6330;108.797;3.0370681;1.75398;0.4878299;6.47194;-1.32088;-2.02783;-0.20013;0.32226;-1.17036;-0.95652;0.31587;-0.28486;-0.28621
6340;108.112;2.9160657;1.7465;0.4613527;6.07083;-2.00894;-1.82717;-0.56302;-0.0132;-0.86948;-0.37671;0.48731;-0.39086;-0.07517
6350;108.324;2.8738725;1.73568;0.4870799;5.83812;-1.17455;-1.90734;-0.54776;0.06605;-1.00772;-0.09283;0.35407;-0.50717;0.06087
6360;107.522;2.9092929;1.74468;0.492557;6.30329;-0.73914;-1.58987;-0.63689;-0.44623;-1.01337;-0.36098;-0.13705;-0.56466;-0.01164
6370;108.628;2.8382139;1.74742;0.4883076;5.73229;-0.83511;-1.34378;-0.56915;-0.39574;-0.90447;-0.45953;0.4612;-1.0084;0.15914
6380;108.796;2.7072237;1.73472;0.5111932;5.9511;-0.14822;-1.43921;-0.98722;-0.97749;-1.20808;-0.37793;0.09923;-0.93365;0.25287
6390;109.23;2.7924416;1.72332;0.5083917;5.66464;-0.10519;-1.46899;-1.19004;-0.19115;-1.0914;-0.2505;0.347;-0.43959;0.30135
6400;108.705;2.8830924;1.73607;0.5289433;6.19346;0.12865;-2.16508;-0.85696;0.10288;-0.54885;-0.41354;-0.32779;-0.63494;0.39036
6410;110.218;2.9878664;1.75621;0.5028763;7.01718;-0.23113;-1.66418;-0.61948;-0.1017;-0.50461;-0.67827;-0.44266;-0.54823;0.45049
6420;109.088;3.0134819;1.75899;0.5163289;7.23722;-0.41617;-2.22264;-0.49694;-0.59281;-0.45359;-0.97804;-0.33641;-0.5672;0.19663
6430;107.403;3.0139873;1.75216;0.5164673;7.18886;-0.13663;-2.30656;-0.26565;-0.48869;-0.30893;-0.38577;-0.44033;-0.54066;0.03685
6440;109.36;3.0929425;1.75953;0.4699452;6.86752;-1.41345;-1.94975;-0.14547;0.07422;-0.06113;-0.31554;-0.3972;-0.3304;0.00463
6450;108.336;2.8360209;1.74324;0.4815583;5.86847;-1.00381;-1.89061;-0.28394;-0.48536;-0.49479;-0.11558;0.59375;-0.66621;-0.23885
6460;108.467;2.9406271;1.76056;0.4911386;6.57088;-0.81518;-2.03275;-0.56743;-0.19653;-0.49403;-0.11143;0.51627;-0.35732;-0.09474
6470;111.611;2.7838762;1.74859;0.4877041;6.09967;-1.02682;-1.71022;-0.77941;-1.00547;-0.48339;-0.2313;0.42889;-0.46843;0.39306
6480;108.585;2.9589934;1.75455;0.4762469;6.58844;-0.95029;-1.44433;-0.6039;-0.29146;-0.03394;-0.07106;0.1279;-0.34923;0.58064
6490;110.171;2.912241;1.76064;0.4642596;6.38872;-0.98435;-0.99458;-0.40858;-0.21578;-0.13157;-0.09644;0.26053;-1.00094;0.36501
6500;107.323;2.8255117;1.73978;0.4795576;6.08586;-0.55425;-1.08499;-1.11422;-0.50872;0.05308;-0.10514;0.16943;-0.2785;0.51617
6510;108.104;2.827275;1.7344;0.4649909;5.90976;-0.73755;-0.692;-1.1583;-0.29446;-0.51729;-0.10794;0.28069;-0.51619;0.13656
6520;108.193;2.7166023;1.72918;0.4715056;5.40769;-0.41634;-0.22524;-1.33769;-0.75492;-0.48208;0.39902;-0.19644;-0.5274;0.36526
6530;109.309;2.6992805;1.73313;0.4900223;5.4039;-0.24297;-0.72905;-1.02487;-0.9555;-0.65211;-0.09512;0.11212;-0.48215;0.47245
6540;108.844;2.5873096;1.7124;0.4989969;4.90195;-0.23772;-1.26039;-1.32936;-0.36533;-0.69849;0.27502;0.28824;-0.48153;0.46062
6550;108.313;2.5377674;1.70817;0.5071529;4.48168;-0.14596;-0.9797;-1.50544;-0.676;-1.04752;0.13572;0.39797;-0.16462;0.65945
6560;107.714;2.4899728;1.70533;0.5400102;4.67323;0.76344;-0.69768;-2.13404;-1.22764;-1.36878;0.04294;0.0493;-0.23471;0.73713
6570;108.909;2.3351438;1.6781;0.544961;3.36053;0.81596;0.06077;-2.24664;-1.6182;-1.7496;0.3192;0.25485;-0.33491;0.8018
6580;108.286;2.2221944;1.68219;0.544683;3.11417;0.52559;-0.28839;-2.16771;-1.24183;-1.93919;0.76904;0.46352;-0.03666;0.88516
6590;109.36;2.2695284;1.69263;0.5275459;3.47061;0.15234;-0.41563;-2.14347;-1.18759;-1.50382;0.89078;0.41369;-0.11489;0.85829
6600;109.906;2.3390801;1.68632;0.534586;3.69897;0.5108;-0.3033;-2.21144;-1.03086;-1.88698;0.45582;0.18796;-0.11759;1.03583
6610;109.746;2.4875987;1.6904;0.5138099;3.98655;0.24135;-0.2537;-1.85238;-0.89986;-1.01526;0.64314;-0.1295;-0.20786;1.11227
6620;109.702;2.4637535;1.6882;0.5082127;3.84259;-0.18557;-0.32754;-1.96169;-0.72604;-0.88449;0.55579;-0.01669;-0.57981;0.90696
6630;109.851;2.6746533;1.69502;0.4877608;4.27303;-0.28684;-0.16477;-1.53151;-0.31138;-0.69365;0.6001;-0.40083;-0.6043;0.92649
6640;110.107;2.783314;1.71165;0.4588606;4.65964;-0.95848;-0.23984;-1.02461;-0.09028;-0.09508;0.51737;-0.45548;-0.77641;0.41729
6650;110.634;2.7370858;1.71236;0.4550699;4.6969;-1.15567;0.13233;-1.401;-0.20389;-0.28655;0.54301;-0.31644;-0.48845;0.98296
6660;107.516;2.6098917;1.70808;0.4761658;4.63938;-0.74531;-0.45014;-1.48459;-0.62875;-0.5128;0.25874;-0.13508;-0.36517;0.78297
6670;108.995;2.5808964;1.7033;0.4986682;4.56559;0.27404;-0.26273;-1.36079;-1.07519;-0.95154;0.38769;-0.24384;-0.50138;0.65346
6680;109.177;2.5692294;1.71055;0.4925693;4.27208;-0.041;-0.26262;-1.37019;-0.89377;-1.40772;0.58437;0.03009;-0.65372;0.12163
6690;107.809;2.5227339;1.70557;0.4968911;4.08014;-0.27564;-0.60326;-1.54637;-0.72436;-1.39977;0.73315;0.41298;-0.62314;0.27406
6700;108.506;2.5554311;1.71235;0.4784911;4.38917;-0.66853;-0.70875;-1.20038;-0.57229;-0.97085;0.57562;0.35926;-0.52003;0.35396
6710;108.895;2.4703002;1.70938;0.4805577;4.35302;-0.6327;-0.78429;-1.23834;-1.02515;-0.77104;0.67548;0.44607;-0.62638;0.23591
6720;109.515;2.6006501;1.71422;0.4765568;4.45775;-0.5018;-0.16853;-1.14288;-1.09307;-0.79866;0.43401;0.40915;-0.8099;0.64689
6730;107.694;2.662451;1.71985;0.4529038;4.61567;-0.96909;0.31029;-1.02311;-0.99341;-0.75986;0.47838;0.1639;-0.79323;0.6852
6740;110.813;2.6791148;1.72565;0.4765477;4.8779;-0.30153;0.02073;-0.92027;-1.33354;-0.70252;0.74487;-0.23758;-0.74375;0.56602
6750;110.283;2.7281184;1.72551;0.4748033;5.11015;-0.41521;-0.49373;-0.91817;-1.28335;-0.61238;0.39158;-0.15747;-0.39661;0.36791
6760;109.411;2.6009896;1.72335;0.485723;4.74523;-0.32491;-0.30566;-1.1725;-1.55197;-1.24059;0.42114;0.20976;-0.50939;0.25352
6770;110.482;2.4744148;1.71422;0.4743802;4.20082;-1.04104;-0.73833;-0.89627;-0.872;-0.95494;0.60064;0.16538;-0.75979;0.36636
6780;108.63;2.2983127;1.70342;0.4828062;3.22042;-1.50422;-0.42293;-1.13647;-1.23094;-1.47368;0.68194;0.93005;-0.82429;0.63279
6790;109.797;2.3307381;1.70001;0.4736698;3.41944;-1.25455;0.88185;-1.54834;-1.60629;-1.54447;0.77077;0.81216;-0.70551;1.30773
6800;111.055;2.388124;1.70926;0.4762155;3.90625;-1.0763;0.841;-1.65257;-1.7558;-1.26099;0.61759;0.20454;-0.88585;1.33108
6810;111.648;2.4703557;1.71167;0.4695806;3.94255;-1.17805;0.58316;-1.49746;-1.34507;-1.6903;0.25274;0.56504;-0.82035;0.98598
6820;111.034;2.5072432;1.71657;0.4817604;4.07408;-0.54759;0.25198;-1.22834;-1.34284;-1.07869;0.60058;0.20602;-1.00859;0.86972
6830;112.696;2.542114;1.70555;0.4841144;4.33354;-0.22177;0.09985;-1.25752;-1.62472;-1.18806;0.55708;0.32357;-0.7775;0.84075
6840;110.415;2.4196992;1.71271;0.4826657;3.99004;-0.98364;-0.75955;-0.76361;-1.51295;-1.14431;0.89168;1.01282;-1.04086;0.5845
6850;113.562;2.472713;1.72582;0.4687998;4.17078;-1.28924;-0.17295;-0.95208;-1.35208;-1.14307;0.64487;1.05936;-1.37773;0.82414
6860;110.123;2.4557405;1.70496;0.4627775;3.72796;-1.01893;0.36609;-0.87666;-1.25432;-1.01707;1.03941;0.76626;-1.24452;0.98788
6870;110.39;2.3553123;1.70492;0.4852945;3.59344;-0.84785;0.28616;-1.13903;-1.80057;-1.40841;0.76168;0.69509;-1.07764;1.20898
6880;114.049;2.3881884;1.71282;0.4733121;3.50625;-1.28516;0.37692;-1.18108;-1.41396;-1.49032;1.02435;0.75712;-1.06335;1.03865
6890;113.504;2.3416743;1.71023;0.4962948;3.37191;-0.84052;-0.30048;-1.06943;-1.2043;-1.90832;1.1742;0.85259;-1.15759;0.70488
6900;110.842;2.3412464;1.70343;0.5025802;3.38417;-0.62036;-0.8036;-0.99669;-0.78667;-2.00741;0.8708;0.66776;-0.99716;0.3807
6910;114.322;2.4100449;1.7129;0.4769935;3.6803;-1.21085;-0.50824;-0.73893;-0.69453;-1.81816;1.20751;1.15779;-1.12353;0.43072
6920;112.737;2.6079569;1.73012;0.4625387;4.406;-1.72289;-0.71824;-0.36557;-0.22568;-1.55248;1.18439;0.68795;-1.40242;0.50457
6930;110.761;2.625545;1.7302;0.4523857;4.38056;-1.9709;-0.35248;-0.55227;-0.2013;-1.24523;0.70894;1.32675;-1.63717;0.52915
6940;111.67;2.5856776;1.7248;0.4635949;4.17367;-1.6566;-0.1705;-0.89949;-0.31536;-1.50045;0.74273;0.83603;-1.34408;0.68129
6950;112.162;2.4027395;1.71784;0.4719828;3.73189;-1.51321;-0.01099;-1.04357;-0.86746;-1.60993;0.6168;1.2867;-1.25419;0.96617
6960;111.094;2.4683032;1.71829;0.4798696;4.18122;-1.13967;-0.23172;-0.87798;-0.91578;-1.64865;0.73083;0.98005;-1.11844;0.9609
6970;112.518;2.3388622;1.71043;0.485719;3.68977;-1.02186;0.27432;-1.42351;-1.41801;-2.04868;0.75697;1.18761;-1.03182;0.93966
6980;112.762;2.4524517;1.70577;0.4986814;3.78968;-0.69543;0.31409;-1.72361;-0.94548;-2.04647;0.33982;0.98814;-1.42204;0.7713
6990;111.536;2.636318;1.72449;0.4542331;4.61577;-1.51793;0.02451;-1.26911;-0.54701;-1.0939;0.47613;1.17924;-1.52188;0.71718
7000;110.336;2.6800132;1.72961;0.4677585;4.7476;-1.17803;-0.16777;-0.77072;-0.39495;-1.26039;0.47794;0.75514;-1.47725;0.69036
7010;111.495;2.6426508;1.72215;0.4701938;4.52442;-1.09392;-0.21972;-1.06857;-0.36283;-1.15914;0.53845;0.91309;-1.29499;0.68436
7020;113.217;2.5301957;1.71229;0.4806886;3.71983;-1.18874;-0.39923;-0.92775;-0.36999;-1.59504;0.69401;1.10428;-1.52284;0.22832
7030;111.641;2.5008125;1.71376;0.476565;3.70142;-1.02234;-0.46224;-0.90772;-0.50417;-1.57477;0.88916;1.22936;-1.01977;0.36812
7040;110.67;2.4956486;1.72349;0.4619182;4.01192;-1.66794;-0.38984;-0.48181;-0.64741;-1.31545;0.70528;0.88041;-1.37544;0.5856
7050;114.091;2.3584259;1.71365;0.474491;3.40858;-1.69727;-0.22724;-0.76594;-0.95655;-1.85449;0.8565;1.29451;-1.1481;0.65886
7060;109.379;2.3796196;1.71066;0.4884216;3.98303;-1.19848;-0.76854;-1.25294;-0.91954;-1.57835;0.6939;0.64168;-0.82068;0.90156
7070;112.379;2.6772537;1.72588;0.4644995;4.77315;-1.20429;-0.55983;-0.72562;-0.23919;-1.05886;0.69974;-0.113;-0.80465;0.91182
7080;111.236;2.6027234;1.71453;0.4588447;4.32616;-1.27465;-0.16352;-0.6753;-0.33683;-1.18073;0.76681;0.1745;-0.96295;0.86057
7090;111.52;2.6423373;1.71391;0.4995028;4.156;-0.52727;-0.59503;-1.22649;-0.48178;-1.47341;0.27339;-0.10145;-1.12619;0.41119
7100;109.549;2.4984956;1.70919;0.4811481;4.18702;-0.9633;-0.5621;-0.8185;-0.94363;-1.51947;0.36023;0.21506;-1.25866;0.61965
