time;a;d;g;r;p1;p2;p3;p4;p5;p6;p7;p8;p9;p10
410;108.285;3.7073174;1.80928;0.2457054;8.01782;-4.18693;5.02996;1.77514;0.04759;0.19409;1.20605;-0.49065;1.18665;-0.79324
420;110.923;3.6979873;1.81545;0.253525;8.26612;-3.83226;4.93769;1.88682;-0.22717;0.3954;1.32864;-0.45489;1.47698;-0.8683
430;112.438;3.8552995;1.83488;0.2536339;8.65259;-4.41172;5.52603;2.22649;0.05118;0.10556;1.42585;-0.03104;1.91335;-0.86933
440;111.165;3.8385935;1.82469;0.2470458;8.45236;-4.33797;5.74774;2.43728;0.2937;0.57111;1.95282;-0.11934;2.00079;-0.53861
450;114.513;3.6792722;1.81276;0.248581;8.09913;-4.15213;5.91607;1.88909;-0.30098;0.0793;1.83084;0.20243;1.63795;-0.37381
460;112.177;3.8571997;1.81995;0.2837059;8.8177;-3.29578;5.21941;2.29755;-0.23488;0.72963;1.65584;-0.86205;1.77792;-0.64674
470;113.911;3.9338431;1.85342;0.2970589;9.76498;-3.58792;4.88048;2.13319;0.03122;0.32292;1.20155;-0.59379;1.92949;-0.70949
480;114.091;3.8671255;1.84136;0.290924;9.28022;-3.3656;4.61493;2.38175;-0.18699;0.53647;1.11223;-0.5293;1.89878;-0.81638
490;113.504;3.973671;1.84067;0.2757469;9.41364;-3.84906;4.49492;2.35521;0.59742;0.92412;1.72502;-0.55858;1.70557;-0.98169
500;114.194;3.831907;1.82577;0.2778577;9.07063;-3.56229;5.09134;1.64784;0.06009;0.33336;1.60166;-0.38985;2.03233;-0.75278
510;115.99;3.7734866;1.83165;0.2704347;8.63835;-3.92706;4.981;1.99591;-0.14935;-0.19493;1.41009;-0.30556;1.58919;-0.74373
520;113.96;3.7715292;1.81983;0.2487743;8.33945;-4.39141;4.6741;1.99952;0.01958;-0.14579;0.95379;-0.09371;1.26884;-0.8465
530;116.792;3.9550557;1.85232;0.252866;9.133;-5.02136;4.33542;2.30704;0.30959;-0.09808;0.78303;-0.10824;1.34439;-1.06906
540;114.942;3.8776572;1.82317;0.2487862;8.45512;-4.64253;4.91651;2.17986;0.43659;-0.18906;1.04539;0.22422;1.33193;-0.61797
550;117.479;3.8264487;1.84002;0.2725495;8.61003;-4.64337;4.32968;2.00856;0.30097;-0.243;0.77146;0.03869;1.25122;-0.51283
560;118.212;3.7689931;1.83821;0.2595087;8.09678;-4.77868;5.25046;2.00391;0.08401;-0.11858;0.93376;0.40117;1.07408;-0.18422
570;115.84;3.7701786;1.84228;0.2635421;8.28583;-5.03836;4.10352;1.87247;0.29628;0.04369;0.71599;0.20737;0.96315;-0.38745
580;115.201;3.6989846;1.83426;0.2526646;7.97161;-4.80248;3.98501;2.0658;0.34884;0.28807;0.30449;0.44341;0.88713;-0.65553
